Model,Brand,Product Category,Description,Dealer Ex GST, RRP Inc. GST 
FC-8T,Atlas IED,Speakers - Ceiling Mount,"Atlas IED FC Series 8"" Premium Ceiling Speaker (Blind Mount) White 60W, 30W, 15W 100V & Low Z operation 90W RMS @ 8 Ohms. 90° Coverage Angle (-6dB), 92dB@ 1m, 59Hz-25kHz, +/- 3dB. White round edgeless grill and ceiling tile included. Patented toolless high travel secure-clamp mechanism. Bezel-less grille - magnetically secured - removable logo. Allows for a single step painting process if necessary.
Ferrofluid cooled titanium HF with neodymium magnet system.
Weather treated multi fiber cone; stiffness combined with controlled top end roll off, for an accurate midrange.
Full bandwidth exceptionally low insertion loss 60W 70/100V transformer.
High-current premium crossover components (Air Core Inductors & Polypropylene Capacitors).
Enhanced voicing presets available via AtlasIED Atmosphere platform.  Priced each, Shipped as pairs.                                                                              ",774.87,"1,273.00"
FS12T-66,Atlas IED,Stadium Horns,"AOR Atlas IED 12"" 2-Way Multipurpose Horn Speaker System 60° x 60°",2302.09,"3,782.00"
FS12T-94,Atlas IED,Stadium Horns,"AOR Atlas IED12"" 2-Way Multipurpose Horn Speaker System 90° x 40°",2302.09,"3,782.00"
FS12T-99,Atlas IED,Stadium Horns,"AOR Atlas IED 12"" 2-Way Multipurpose Horn Speaker System 90° x 90°",2302.09,"3,782.00"
FS12T-BT60,Atlas IED,Stadium Horns,"AOR Atlas IED 12"" 2-Way Multipurpose Nearfield Horn Speaker System 90° Conical",1918.61,"3,152.00"
FS12TEN-66,Atlas IED,Stadium Horns,"AOR Atlas IED EN54-24 Certified 12"" 2-Way Multipurpose Horn Speaker System 60° x 60°",2368.43,"3,891.00"
FS12TEN-94,Atlas IED,Stadium Horns,"AOR Atlas IED EN54-24 Certified 12"" 2-Way Multipurpose Horn Speaker System 90° x 40°",2368.43,"3,891.00"
FS12TEN-99,Atlas IED,Stadium Horns,"AOR Atlas IED EN54-24 Certified 12"" 2-Way Multipurpose Horn Speaker System 90° x 90°",2368.43,"3,891.00"
FS12T-SUB,Atlas IED,Stadium Horns,"AOR Atlas IED 12"" Multipurpose Low Frequency Horn Speaker System",2045.83,"3,361.00"
FS-4D-B,Atlas IED,Speakers - Surface Mount,"AOR Atlas IED FS Series 4"" Surface Mount Speaker. Integrated DSP and Amplifiers, Power-over-Ethernet (POE+ or POE++). DANTE and AES67 compatible. CLASS D two Channel Amplifier onboard.36w RMS @ PoE++ Type 4, 30w RMS @ PoE++ Type 3, 10W RMS @ PoE+ Type 2. Second amp channel supported impedance is 8 ohms.                                                    115° Conical Coverage Angle (-6dB), 83Hz-22kHz, +/- 3dB.
Ferrofluid cooled titanium HF with neodymium magnet system. Acoustically Aligned HF & LF IsoFlare™  4"" driver

High-current premium crossover components (Air Core Inductors & Polypropylene Capacitors).                                                                                                                                                 High impact ABS enclosure with UV inhibitor
IP55 & UL1480A rated
Slip-Free yoke mount supplied. Optional pan and tilt bracket available
Compatible with VESA™ mounts
Enhanced voicing presets available via AtlasIED Atmosphere platform. BLACK                 Priced each, Shipped as pairs.                                                                                  ",1832.78,"3,011.00"
FS-4D-W,Atlas IED,Speakers - Surface Mount,"AOR Atlas IED FS Series 4"" Surface Mount Speaker. Integrated DSP and Amplifiers, Power-over-Ethernet (POE+ or POE++). DANTE and AES67 compatible. CLASS D two Channel Amplifier onboard.36w RMS @ PoE++ Type 4, 30w RMS @ PoE++ Type 3, 10W RMS @ PoE+ Type 2. Second amp channel supported impedance is 8 ohms.                                                    115° Conical Coverage Angle (-6dB), 83Hz-22kHz, +/- 3dB.
Ferrofluid cooled titanium HF with neodymium magnet system. Acoustically Aligned HF & LF IsoFlare™  4"" driver

High-current premium crossover components (Air Core Inductors & Polypropylene Capacitors).                                                                                                                                                 High impact ABS enclosure with UV inhibitor
IP55 & UL1480A rated
Slip-Free yoke mount supplied. Optional pan and tilt bracket available
Compatible with VESA™ mounts
Enhanced voicing presets available via AtlasIED Atmosphere platform. WHITE                  Priced each, Shipped as pairs.                                                                                  ",1832.78,"3,011.00"
FS-4T-B,Atlas IED,Speakers - Surface Mount,"Atlas IED FS Series 4"" Surface Mount Speaker. 30W, 15W, 7.5W 100V & Low Z operation 60W RMS @ 8 Ohms. 115° Conical Coverage Angle (-6dB), 87dB@ 1m, 83Hz-22kHz, +/- 3dB.
Ferrofluid cooled titanium HF with neodymium magnet system. Acoustically Aligned HF & LF IsoFlare™  4"" driver

Full bandwidth exceptionally low insertion loss 30W 70/100V transformer.
High-current premium crossover components (Air Core Inductors & Polypropylene Capacitors).                                                                                                                                                 High impact ABS enclosure with UV inhibitor
IP65 & UL1480A rated
Slip-Free yoke mount supplied. Optional pan and tilt bracket available
Compatible with VESA™ mounts
Enhanced voicing presets available via AtlasIED Atmosphere platform. BLACK             Priced each, Shipped as pairs.                                                                                  ",451.65,742
FS-4T-W,Atlas IED,Speakers - Surface Mount,"Atlas IED FS Series 4"" Surface Mount Speaker. 30W, 15W, 7.5W 100V & Low Z operation 60W RMS @ 8 Ohms. 115° Conical Coverage Angle (-6dB), 87dB@ 1m, 83Hz-22kHz, +/- 3dB.
Ferrofluid cooled titanium HF with neodymium magnet system. Acoustically Aligned HF & LF IsoFlare™  4"" driver

Full bandwidth exceptionally low insertion loss 30W 70/100V transformer.
High-current premium crossover components (Air Core Inductors & Polypropylene Capacitors).                                                                                                                                                 High impact ABS enclosure with UV inhibitor
IP65 & UL1480A rated
Slip-Free yoke mount supplied. Optional pan and tilt bracket available
Compatible with VESA™ mounts
Enhanced voicing presets available via AtlasIED Atmosphere platform. White               Priced each, Shipped as pairs.                                                                                  ",451.65,742
FS-6D-B,Atlas IED,Speakers - Surface Mount,"AOR Atlas IED FS Series 6"" Surface Mount Speaker. Integrated DSP and Amplifiers, Power-over-Ethernet (POE+ or POE++). DANTE and AES67 compatible. CLASS D two Channel Amplifier onboard.36w RMS @ PoE++ Type 4, 30w RMS @ PoE++ Type 3, 10W RMS @ PoE+ Type 2. Second amp channel supported impedance is 8 ohms.                                                    110° Conical Coverage Angle (-6dB), 72Hz-22kHz, +/- 3dB.
Ferrofluid cooled titanium HF with neodymium magnet system. Acoustically Aligned HF & LF IsoFlare™  6"" driver

High-current premium crossover components (Air Core Inductors & Polypropylene Capacitors).                                                                                                                                                 High impact ABS enclosure with UV inhibitor
IP55 & UL1480A rated
Slip-Free yoke mount supplied. Optional pan and tilt bracket available
Compatible with VESA™ mounts
Enhanced voicing presets available via AtlasIED Atmosphere platform. BLACK                 Priced each, Shipped as pairs.                                                                                  ",1947.83,"3,200.00"
FS-6D-W,Atlas IED,Speakers - Surface Mount,"AOR Atlas IED FS Series 6"" Surface Mount Speaker. Integrated DSP and Amplifiers, Power-over-Ethernet (POE+ or POE++). DANTE and AES67 compatible. CLASS D two Channel Amplifier onboard.36w RMS @ PoE++ Type 4, 30w RMS @ PoE++ Type 3, 10W RMS @ PoE+ Type 2. Second amp channel supported impedance is 8 ohms.                                                    110° Conical Coverage Angle (-6dB), 72Hz-22kHz, +/- 3dB.
Ferrofluid cooled titanium HF with neodymium magnet system. Acoustically Aligned HF & LF IsoFlare™  6"" driver

High-current premium crossover components (Air Core Inductors & Polypropylene Capacitors).                                                                                                                                                 High impact ABS enclosure with UV inhibitor
IP55 & UL1480A rated
Slip-Free yoke mount supplied. Optional pan and tilt bracket available
Compatible with VESA™ mounts
Enhanced voicing presets available via AtlasIED Atmosphere platform. WHITE                  Priced each, Shipped as pairs.                                                                                  ",1947.83,"3,200.00"
FS-6T-B,Atlas IED,Speakers - Surface Mount,"Atlas IED FS Series 6"" Surface Mount Speaker. 60W,30W, 15W,  100V & Low Z operation 80W RMS @ 8 Ohms. 110° Conical Coverage Angle (-6dB), 89dB@ 1m, 72Hz-22kHz, +/- 3dB.
Ferrofluid cooled titanium HF with neodymium magnet system. Acoustically Aligned HF & LF IsoFlare™  6"" driver

Full bandwidth exceptionally low insertion loss 60W 70/100V transformer.
High-current premium crossover components (Air Core Inductors & Polypropylene Capacitors).                                                                                                                                                 High impact ABS enclosure with UV inhibitor
IP65 & UL1480A rated
Slip-Free yoke mount supplied. Optional pan and tilt bracket available
Compatible with VESA™ mounts
Enhanced voicing presets available via AtlasIED Atmosphere platform. Black              Priced each, Shipped as pairs.                                                                                  ",661.04,"1,086.00"
FS-6T-W,Atlas IED,Speakers - Surface Mount,"Atlas IED FS Series 6"" Surface Mount Speaker. 60W,30W, 15W,  100V & Low Z operation 80W RMS @ 8 Ohms. 110° Conical Coverage Angle (-6dB), 89dB@ 1m, 72Hz-22kHz, +/- 3dB.
Ferrofluid cooled titanium HF with neodymium magnet system. Acoustically Aligned HF & LF IsoFlare™  6"" driver

Full bandwidth exceptionally low insertion loss 60W 70/100V transformer.
High-current premium crossover components (Air Core Inductors & Polypropylene Capacitors).                                                                                                                                                 High impact ABS enclosure with UV inhibitor
IP65 & UL1480A rated
Slip-Free yoke mount supplied. Optional pan and tilt bracket available
Compatible with VESA™ mounts
Enhanced voicing presets available via AtlasIED Atmosphere platform. White              Priced each, Shipped as pairs.                                                                                  ",661.04,"1,086.00"
FS-8T-B,Atlas IED,Speakers - Surface Mount,"Atlas IED FS Series 8"" Surface Mount Speaker. 60W,30W, 15W,  100V & Low Z operation 90W RMS @ 8 Ohms. 90° Conical Coverage Angle (-6dB), 92dB@ 1m, 67Hz-22kHz, +/- 3dB.
Ferrofluid cooled titanium HF with neodymium magnet system. Acoustically Aligned HF & LF IsoFlare™  8"" driver

Full bandwidth exceptionally low insertion loss 60W 70/100V transformer.
High-current premium crossover components (Air Core Inductors & Polypropylene Capacitors).                                                                                                                                                 High impact ABS enclosure with UV inhibitor
IP65 & UL1480A rated
Slip-Free yoke mount supplied. Optional pan and tilt bracket available
Compatible with VESA™ mounts
Enhanced voicing presets available via AtlasIED Atmosphere platform. Black              Priced each, Shipped as pairs.                                                                                  ",923.39,"1,517.00"
FS-8T-W,Atlas IED,Speakers - Surface Mount,"Atlas IED FS Series 8"" Surface Mount Speaker. 60W,30W, 15W,  100V & Low Z operation 90W RMS @ 8 Ohms. 90° Conical Coverage Angle (-6dB), 92dB@ 1m, 67Hz-22kHz, +/- 3dB.
Ferrofluid cooled titanium HF with neodymium magnet system. Acoustically Aligned HF & LF IsoFlare™  8"" driver

Full bandwidth exceptionally low insertion loss 60W 70/100V transformer.
High-current premium crossover components (Air Core Inductors & Polypropylene Capacitors).                                                                                                                                                 High impact ABS enclosure with UV inhibitor
IP65 & UL1480A rated
Slip-Free yoke mount supplied. Optional pan and tilt bracket available
Compatible with VESA™ mounts
Enhanced voicing presets available via AtlasIED Atmosphere platform. White              Priced each, Shipped as pairs.                                                                                  ",923.39,"1,517.00"
FS-PMBRKT,Atlas IED,Stadium Horns,AOR Atlas IED FS Horn Pole Mount Adapter,157.04,258
GEM-5,Atlas IED,DSP,Wall mountable Atmosphere virtual wall controller QR code holder.  These are sold in a packages of 5.  (note: one GEM is included with each AZM purchased).,91.91,151
HPA1204,Atlas IED,Amplifier - Install,"AtlasIED Class D Four-Channel, 1200-Watt Commercial Amplifier., Configurations: 4 x 300 Watt 70V , 4 x 300 Watt 100V , 4 x 300 Watt 8? , 4 x 300 Watt 4? , Each Channel Load Can Be Independent of the Others , Balanced Input Euro Block Phoenix Style Connectors , Remote Turn On , Accessory Card Slot for Optional Dante™ Digital Network Audio Card , Fault Reporting , Detented Attenuators with Security Covers , Stereo or Parallel Operating Modes , Selectable Input Sensitivity , High Efficiency Fan Cooling , Auto Sensing 100V-240V~ AC Mains Power Supply , Meets Energy Star Standards for 1W Standby Mode",3418.43,"5,616.00"
HPA1302,Atlas IED,Amplifier - Install,"AtlasIED Class D Dual-Channel, 1300-Watt Commercial Amplifier. Configurations:  2 x 650 Watt 70V  2 x 650 Watt 100V  2 x 650 Watt 8?  2 x 650 Watt 4?,  Balanced Input Euro Block Phoenix Style Connectors,  Remote Turn On,  Accessory Card Slot for Optional Dante™ Digital Network Audio Card,  Fault Reporting,  Soft Clip, Limiter Protection,  Stepped Attenuators with Security Covers,  Stereo or Parallel Operating Modes,  Selectable Input Sensitivity,  High Efficiency Fan Cooling,  Wide Range Global Power Supply with Power Factor Correction,  Meets Energy Star Standards for 1W Standby Mode",3342.35,"5,491.00"
HPA2408,Atlas IED,Amplifier - Install,"AtlasIED Class D Eight-Channel, 2400-Watt Commercial Amplifier. Configurations: 8 x 300W 70.7V, 8 x 300W 100V, 8x 300W 8?, 8 x 300W 4?. Balanced Inputs Euro Block Phoenix Style Connector , Remote Turn On , Fault Reporting , Accessory Card Slot for Optional Dante™ Digital Network Audio Card , Soft Clip Limiter Protection , Stepped Attenuators with Security Covers ,  Stereo, Bridge, or Parallel Operating Modes , Selectable Input Sensitivity , High Efficiency Fan Cooling , Auto Sensing 120V/220V AC Mains Power Supply , Meets Energy Star Standards for 1W Standby Mode ",6456.43,"10,607.00"
HPA2602,Atlas IED,Amplifier - Install,"AtlasIED Class D Dual-Channel, 3200-Watt Commercial Amplifier. 70.7V Only and 2?, 4?, and 8? Output.  2 x 1300W 70.7V,  2 x 800W 8?, 2 x 1300W 4?, 2 x 1800W 2?, 1 x 2500W 8? Bridged, 1 x 3200W 4? Bridged, Balanced Inputs Euro Block Phoenix Style Connector , Remote Turn On , Accessory Card Slot for Optional Dante™ Digital Network Audio Card , Fault Reporting , Soft Clip Limiter Protection , Stepped Attenuators with Security Covers ,  Stereo, Bridge, or Parallel Operating Modes , Selectable Input Sensitivity , High Efficiency Fan Cooling , Auto Sensing 120V/220V AC Mains Power Supply , Meets Energy Star Standards for 1W Standby Mode",4443.48,"7,300.00"
HPA2604,Atlas IED,Amplifier - Install,"AtlasIED Class D Four-Channel, 2600-Watt Commercial Amplifier. , Configurations: 4 x 650 Watt 70V , 4 x 650 Watt 100V , 4 x 650 Watt 8? , 4 x 650 Watt 4? , Each Channel Load Can Be Independent of the Others , Balanced Input Euro Block Phoenix Style Connectors , Remote Turn On , Accessory Card Slot for Optional Dante™ Digital Network Audio Card , Fault Reporting , Detented Attenuators with Security Covers , Stereo or Parallel Operating Modes , Selectable Input Sensitivity , High Efficiency Fan Cooling , Auto Sensing 100V-240V~ AC Mains Power Supply , Meets Energy Star Standards for 1W Standby Mode",4443.48,"7,300.00"
HPA4202,Atlas IED,Amplifier - Install,"AtlasIED Class D Dual-Channel, 4800-Watt Commercial Amplifier. Configurations: 2 x 2100W 100V, 2 x 2100W 70.7V, 2 x 1200W 8?, 2 x 2100W 4?, 2 x 2500W 2?, 1 x 3800W 8? BRIDGED, 1 x 4800W 4? BRIDGED, Balanced Inputs Euro Block Phoenix Style Connector , Remote Turn On , Fault Reporting , Accessory Card Slot for Optional Dante™ Digital Network Audio Card , Soft Clip Limiter Protection , Stepped Attenuators with Security Covers ,  Stereo, Bridge, or Parallel Operating Modes , Selectable Input Sensitivity , High Efficiency Fan Cooling , Auto Sensing 120V/220V AC Mains Power Supply , Meets Energy Star Standards for 1W Standby Mode",4937.74,"8,112.00"
HPA602,Atlas IED,Amplifier - Install,"AtlasIED Class D Dual-Channel, 600-Watt Commercial Amplifier. Configurations:  2 x 300 Watt 70V  2 x 300 Watt 100V  2 x 300 Watt 8?  2 x 300 Watt 4?,  Balanced Input Euro Block Phoenix Style Connectors,  Remote Turn On  Accessory Card Slot for Optional Dante™ Digital Network Audio Card,  Fault Reporting,  Soft Clip, Limiter Protection,  Stepped Attenuators with Security Covers,  Stereo or Parallel Operating Modes,  Selectable Input Sensitivity,  High Efficiency Fan Cooling,  Wide Range Global Power Supply with Power Factor Correction,  Meets Energy Star Standards for 1W Standby Mode",2393.39,"3,932.00"
HPA-DAC2,Atlas IED,Amplifier - Install,AtlasIED Two-Input Dante® Accessory Card for HPA Amplifiers,1139.48,"1,872.00"
HPA-DAC4,Atlas IED,Amplifier - Install,AtlasIED Four-Input Dante® Accessory Card for HPA Amplifiers,1214.96,"1,996.00"
HPA-DAC8,Atlas IED,Amplifier - Install,AtlasIED Eight-Input Dante® Accessory Card for HPA Amplifiers,1746.35,"2,869.00"
LMA101,Atlas IED,DSP,"AtlasIED Linkable Single Zone/Channel Amplifier. 1 x 100 W output @ 100V,70V, 4? & 8?.  Convection cooled. Can be used as a single channel amplifier or linked to a DMA Mixer amplifier to create a second zone. Compact 1RU, half rack.Rack mount kit included ",1084.7,"1,782.00"
LMA201,Atlas IED,DSP,"AtlasIED Linkable Single Zone/Channel Amplifier. 1 x 200 W output @ 100V,70V, 4? & 8?.  Convection cooled. Can be used as a single channel amplifier or linked to a DMA Mixer amplifier to create a second zone. Compact 1RU, half rack.Rack mount kit included ",1283.13,"2,108.00"
LMA401,Atlas IED,DSP,"AtlasIED Linkable Single Zone/Channel Amplifier. 1 x 400 W output @ 100V,70V, 4? & 8?.  Convection cooled. Can be used as a single channel amplifier or linked to a DMA Mixer amplifier to create a second zone. Compact 1RU, half rack.Rack mount kit included ",1600.26,"2,629.00"
M1000,Atlas IED,Sound Masking,"AOR 8"" Dual Cone Sound Masking Speaker with 4-Watt 70V Transformer and Enclosure - Black",171.65,282
M1000A35,Atlas IED,Sound Masking,"AOR 8"" Powered / Active Sound Masking Speaker",1134,"1,863.00"
M1000CBKT,Atlas IED,Sound Masking,"AOR BRKT, HANGING M1000 BLK",49.91,82
M1000R,Atlas IED,Sound Masking,"AOR 8"" Dual Cone Sound Masking Speaker with 4-Watt 70V Transformer and Enclosure - Round",246.52,405
M1000R-W,Atlas IED,Sound Masking,"AOR 8"" Dual Cone Sound Masking Speaker with 4-Watt 70V Transformer and Enclosure - White and Round",246.52,405
M1000-USA,Atlas IED,Sound Masking,"AOR 8"" Dual Cone Sound Masking Speaker with 4-Watt 70V Transformer, Black Enclosure, and BAA Compliance",266.61,438
M1000-W,Atlas IED,Sound Masking,"AOR 8"" Dual Cone Sound Masking Speaker with 4-Watt 70V Transformer and Enclosure - White",209.39,344
M2000-LP,Atlas IED,Sound Masking,"AOR Dual 2"" x 4"" Sound Masking Speaker System with 70V Transformer",298.26,490
M2000-SM,Atlas IED,Sound Masking,AOR Surface Mount Sound Masking Transducer,246.52,405
M812-S2T7-BX-RS,Atlas IED,Sound Masking,"AOR 8"" Sound Masking Speaker with 5-Watt 70V Transformer and Enclosure",340.87,560
MCHAIN72,Atlas IED,Sound Masking,AOR 72 inch Suspension Chain for Use with M1000 Speakers,21.91,36
MS-10CE,Atlas IED,Stands - Microphone,General Duty Mic Stand w/Air Suspension. Straight stand with round base - Ebony,149.13,245
MS20E,Atlas IED,Stands - Microphone,Heavy Duty Mic Stand w/Air Suspension. Straight stand with round base - Ebony,349.39,574
MS20MIR,Atlas IED,Stands - Microphone,Magnetic Isolation Ring for MS20E,54.17,89
MS25E,Atlas IED,Stands - Microphone,Professional Mic Stand w/ Air Suspension. Straight stand with triangle base - Ebony,516.78,849
MS43E,Atlas IED,Stands - Microphone,"Fully Adjustable 3 Section Microphone Stand, Straight stand, round base - Ebony",399.91,657
PM4FA-B,Atlas IED,Speakers - Pendants,"Atlas IED 4' Pendant Speaker. 4"" Coaxial Full Range Driver. 16W, 8W, 4W, 2W ,1W @ 70V/100V & 25W RMS @8 Ohms. 130° Coverage Angle, 88dB@ 1m, 70Hz-20kHZ +/- 5dB. IP30 rated. Includes hanging kit. Black",372.52,612
PM4FA-WH,Atlas IED,Speakers - Pendants,"Atlas IED 4' Pendant Speaker. 4"" Coaxial Full Range Driver. 16W, 8W, 4W, 2W ,1W @ 70V/100V & 25W RMS @8 Ohms. 130° Coverage Angle, 88dB@ 1m, 70Hz-20kHZ +/- 5dB. IP30 rated. Includes hanging kit. White",372.52,612
PM8FA-B,Atlas IED,Speakers - Pendants,"Atlas IED 8' Pendant Speaker. 8"" Coaxial 2-Way Driver. 60W, 30W, 15W, 7.5W ,3.8W, 1.9W @ 70V/100V & 70W RMS @8 Ohms. 100° Coverage Angle, 90dB@ 1m, 60Hz-20kHZ +/- 5dB. IP30 rated. Includes hanging kit. Black",606.87,997
PM8FA-WH,Atlas IED,Speakers - Pendants,"Atlas IED 8' Pendant Speaker. 8"" Coaxial 2-Way Driver. 60W, 30W, 15W, 7.5W ,3.8W, 1.9W @ 70V/100V & 70W RMS @8 Ohms. 100° Coverage Angle, 90dB@ 1m, 60Hz-20kHZ +/- 5dB. IP30 rated. Includes hanging kit. Black",606.87,997
PM8SUB-B,Atlas IED,Speakers - Pendants,"Atlas IED 4' Pendant Speaker. 8"" Low Frequency Woofer Driver. 60W, 30W, 15W, 7.5W @ 70V/100V & 150W RMS @8 Ohms. Internal passive Crossover 18dB / octave @ 120Hz 92dB@ 1m, 46Hz-160HZ +/- 5dB. IP30 rated. Includes hanging kit. Black",758.43,"1,246.00"
PM8SUB-WH,Atlas IED,Speakers - Pendants,"Atlas IED 4' Pendant Speaker. 8"" Low Frequency Woofer Driver. 60W, 30W, 15W, 7.5W @ 70V/100V & 150W RMS @8 Ohms. Internal passive Crossover 18dB / octave @ 120Hz 92dB@ 1m, 46Hz-160HZ +/- 5dB. IP30 rated. Includes hanging kit. White",758.43,"1,246.00"
SM42T-B,Atlas IED,Speakers - Sourface Mount,"4"" SM Series Surface Mount Speaker Black .Passive 16W, 8W, 4W 100V & Low Z operation 16W RMS @ 8 Ohms. 90°H x 90°V, 88dB@ 1m, 115Hz-16kHz, +/- 5dB.                                                                                                                   
1"" Ferrofluid™ Cooled Dome Tweeter &  4"" Polypropylene Woofer
Atlas Sound POLYGUARD™ High Frequency Protection Circuit
Color Matched Heavy-Duty Zinc Chromate Plated & Powder Coated ""C"" Bracket (Inc.)
TRX WAVEGUIDE™- Constant Directivity Style High Frequency Wave Guide 
Weather-Resistant Construction for Year-Round Indoor or Outdoor Use IP33
OMNIMOUNT™ Compatible. Priced each, Shipped as pairs.                                                                       ",129.65,213
SM42T-WH,Atlas IED,Speakers - Sourface Mount,"4"" SM Series Surface Mount Speaker White .Passive 16W, 8W, 4W 100V & Low Z operation 16W RMS @ 8 Ohms. 90°H x 90°V, 88dB@ 1m, 115Hz-16kHz, +/- 5dB.                                                                                                                           1"" Ferrofluid™ Cooled Dome Tweeter &  4"" Polypropylene Woofer
Atlas Sound POLYGUARD™ High Frequency Protection Circuit
Color Matched Heavy-Duty Zinc Chromate Plated & Powder Coated ""C"" Bracket (Inc)
TRX WAVEGUIDE™- Constant Directivity Style High Frequency Wave Guide 
Weather-Resistant Construction for Year-Round Indoor or Outdoor Use IP33
OMNIMOUNT™ Compatible. Priced each, Shipped as pairs.                                                                       ",129.65,213
SM52T-B,Atlas IED,Speakers - Sourface Mount,"5.25"" SM Series Surface Mount Speaker Black .Passive 30W, 15W, 7.5W, 3.7W 100V & Low Z operation 100W RMS @ 6 Ohms. 90°H x 90°V, 90dB@ 1m, 85Hz-20kHz, +/- 3dB.                                                                                                                           1"" Ferrofluid™ Cooled Dome Tweeter &  5.25"" Polypropylene Woofer
Atlas Sound POLYGUARD™ High Frequency Protection Circuit
Color Matched Heavy-Duty Zinc Chromate Plated & Powder Coated ""C"" Bracket (Inc)
TRX WAVEGUIDE™- Constant Directivity Style High Frequency Wave Guide 
Weather-Resistant Construction for Year-Round Indoor or Outdoor Use IP33
OMNIMOUNT™ Compatible. Priced each, Shipped as pairs.                                                                       ",197.83,325
SM52T-WH,Atlas IED,Speakers - Sourface Mount,"5.25"" SM Series Surface Mount Speaker Black .Passive 30W, 15W, 7.5W, 3.7W 100V & Low Z operation 100W RMS @ 6 Ohms. 90°H x 90°V, 90dB@ 1m, 85Hz-20kHz, +/- 3dB.                                                                                                                           1"" Ferrofluid™ Cooled Dome Tweeter &  5.25"" Polypropylene Woofer
Atlas Sound POLYGUARD™ High Frequency Protection Circuit
Color Matched Heavy-Duty Zinc Chromate Plated & Powder Coated ""C"" Bracket (Inc)
TRX WAVEGUIDE™- Constant Directivity Style High Frequency Wave Guide 
Weather-Resistant Construction for Year-Round Indoor or Outdoor Use IP33
OMNIMOUNT™ Compatible. Priced each, Shipped as pairs.                                                                       ",197.83,325
SM63T-B,Atlas IED,Speakers - Sourface Mount,"6.5"" SM Series Surface Mount Speaker Black . Passive 32W, 16W, 8W 100V & Low Z operation 75W RMS @ 8 Ohms. 120°H x 120°V, 88.5dB@ 1m, 104 Hz-20kHz, +/- 3dB.                                                                                                                           1"" Ferrofluid™ Cooled Dome Tweeter &  6.5"" Polypropylene Woofer
Atlas Sound POLYGUARD™ High Frequency Protection Circuit
Color Matched Heavy-Duty Zinc Chromate Plated & Powder Coated ""C"" Bracket (Inc)
TRX WAVEGUIDE™- Constant Directivity Style High Frequency Wave Guide 
Weather-Resistant Construction for Year-Round Indoor or Outdoor Use IP33
OMNIMOUNT™ Compatible. Priced each, Shipped as pairs.                                                                       ",270.26,444
SM63T-WH,Atlas IED,Speakers - Sourface Mount,"6.5"" SM Series Surface Mount Speaker White. Passive 32W, 16W, 8W 100V & Low Z operation 75W RMS @ 8 Ohms. 120°H x 120°V, 88.5dB@ 1m, 104 Hz-20kHz, +/- 3dB.                                                                                                                           1"" Ferrofluid™ Cooled Dome Tweeter &  6.5"" Polypropylene Woofer
Atlas Sound POLYGUARD™ High Frequency Protection Circuit
Color Matched Heavy-Duty Zinc Chromate Plated & Powder Coated ""C"" Bracket (Inc)
TRX WAVEGUIDE™- Constant Directivity Style High Frequency Wave Guide 
Weather-Resistant Construction for Year-Round Indoor or Outdoor Use IP33
OMNIMOUNT™ Compatible. Priced each, Shipped as pairs.                                                                       ",270.26,444
SM82T-B,Atlas IED,Speakers - Sourface Mount,"8"" SM Series Surface Mount Speaker Black . Passive 60W, 30W, 15W 100V & Low Z operation 150W RMS @ 8 Ohms. 65°H x 65°V, 92dB@ 1m, 65 Hz-20kHz, +/- 3dB.                                                                                                                           1"" Titanium Dome Tweeter &  8"" HYCONE Treated Paper Woofer
Atlas Sound POLYGUARD™ High Frequency Protection Circuit
Color Matched Heavy-Duty Zinc Chromate Plated & Powder Coated ""C"" Bracket (Inc)
TRX WAVEGUIDE™- Constant Directivity Style High Frequency Wave Guide 
Weather-Resistant Construction for Year-Round Indoor or Outdoor Use IP33
OMNIMOUNT™ Compatible                                                                       ",327.48,538
SM82T-WH,Atlas IED,Speakers - Sourface Mount,"8"" SM Series Surface Mount Speaker White. Passive 60W, 30W, 15W 100V & Low Z operation 150W RMS @ 8 Ohms. 65°H x 65°V, 92dB@ 1m, 65 Hz-20kHz, +/- 3dB.                                                                                                                           1"" Titanium Dome Tweeter &  8"" HYCONE Treated Paper Woofer
Atlas Sound POLYGUARD™ High Frequency Protection Circuit
Color Matched Heavy-Duty Zinc Chromate Plated & Powder Coated ""C"" Bracket (Inc)
TRX WAVEGUIDE™- Constant Directivity Style High Frequency Wave Guide 
Weather-Resistant Construction for Year-Round Indoor or Outdoor Use IP33
OMNIMOUNT™ Compatible                                                                       ",327.48,538
SMBALLMOUNT-B,Atlas IED,Speakers - Sourface Mount,Unique wall mount bracket for the SM42T which allows pan and tilt adjustment of the speaker. Black. Each,66.35,109
SMBALLMOUNT-W,Atlas IED,Speakers - Sourface Mount,Unique wall mount bracket for the SM42T which allows pan and tilt adjustment of the speaker. White. Each,66.35,109
TSD-BB22,Atlas IED,DSP,"BlueBridge 2 Input x 2 Output - Networkable DSP Device. 
Open Architecture
iOS and Android App Control
Mic or Line Selectable Inputs
Balanced High Gain Outputs
Signal Indicator LEDs
Ultra Low Noise Floor
High Quality Mic Preamp (THAT® Corp)
Ethernet Network Connectivity
24dB Converters
48kHz, 40 Bit Floating DSP Engine
External Power Supply (Included)",2689.22,"4,418.00"
